F,fase
10,-58.716667175293
10.87387771,-100.591926574707
11.8241216452035,-99.2713623046875
12.8574052798107,-119.880813598633
13.980985268057,-17.7871856689453
15.2027524070163,-84.830680847168
16.5312870529303,-54.1769104003906
17.9759193802471,-138.856903076172
19.5467949065626,-139.072296142578
21.2549457436412,-42.0907363891602
23.112368074904,-51.1198577880859
25.1321064035014,-83.0897064208984
27.3283451626382,-84.1213226318359
29.7165083315198,-77.2456359863281
32.3133677565142,-104.121109008789
35.1371609382592,-96.5007400512695
38.207719111922,-95.2194366455078
41.5466065201069,-95.0827026367188
45.1772718565132,-93.666015625
49.1252129439149,-88.2978897094727
53.4181558029839,-95.2654876708984
58.0862493695374,-96.1052169799805
63.1622772276914,-86.8506698608398
68.6818878459034,-90.0245971679688
74.6838449328289,-90.315071105957
81.2102996712185,-90.9908828735352
88.3070867417283,-92.1864852905273
96.0240462155916,-92.0322265625
104.415373576773,-92.5761489868164
113.54000033178,-92.6365966796875
123.462007880113,-92.8936614990234
134.251077551941,-93.09326171875
145.982979973553,-93.3451843261719
158.740107197379,-93.7078628540039
172.612051333659,-94.002197265625
187.696233747445,-94.3561706542969
204.09858923973,-94.7681579589844
221.934310017634,-95.2061767578125
241.328654678498,-95.7344207763672
262.417827889281,-96.237060546875
285.349936939187,-96.8610992431641
310.286031883293,-97.5607528686523
337.401236582008,-98.3427124023437
366.885978579554,-99.2476196289063
398.947326458775,-100.314117431641
433.810444064416,-101.541076660156
471.720171807726,-103.02229309082
512.94274615774,-104.770065307617
557.767669395084,-106.986068725586
606.509742759385,-109.784744262695
659.511277268911,-113.413543701172
717.144497738804,-118.397659301758
779.814156881113,-125.440002441406
847.960377845198,-135.920593261719
922.061745161407,-151.724502563477
1002.63866579543,-173.594039916992
1090.25702391771,162.668319702148
1185.53215505497,143.569885253906
1289.13316753405,130.536361694336
1401.78764156702,121.864929199219
1524.28673897891,115.883087158203
1657.49075946314,111.596069335937
1802.33518238572,108.379470825195
1959.83723656928,105.885040283203
2131.10304419587,103.879913330078
2317.33538899946,102.255432128906
2519.84216330355,100.875297546387
2740.04555322646,99.7480773925781
2979.49202656138,98.7384796142578
3239.86319347485,97.9023742675781
3522.98761629756,97.1269149780273
3830.85365134641,96.4855346679687
4165.62341296478,95.8711853027344
4529.64795784919,95.3419418334961
4925.48379630033,94.8645172119141
5355.91084635563,94.4359130859375
5823.95195689338,94.0686645507813
6332.89413681738,93.6893920898438
6886.31163941282,93.3882141113281
7488.09106399246,93.0667114257813
8142.45865111978,92.8162078857422
8854.0099631008,92.5638122558594
9627.74215818797,92.3311309814453
10469.0890851547,92.0916748046875
11383.9594447068,91.890380859375
12378.7782857342,91.7261734008789
13460.5321278277,91.5270080566406
14636.8180269524,91.3850326538086
15915.8969288604,91.228645324707
17306.7516849393,91.0807342529297
18819.1501379366,90.9158325195313
20463.7137206052,90.8041763305664
22251.9920490311,90.6504516601563
24196.5440345056,90.5473709106445
26311.0260835844,90.4245300292969
28610.2880057517,90.3038711547852
31110.4773022424,90.1619567871094
33829.1525684314,90.0664520263672
36785.4068062055,89.9249267578125
