F,Vac
10,-47.6542083250887
10.87387771,-46.8715160031475
11.8241216452035,-46.3229027547713
12.8574052798107,-45.5470991353696
13.980985268057,-44.9877244269338
15.2027524070163,-44.3012333347804
16.5312870529303,-43.5752967659021
17.9759193802471,-42.9103085771669
19.5467949065626,-42.2129027842363
21.2549457436412,-41.5189939259789
23.112368074904,-40.8465492099848
25.1321064035014,-40.1022628788955
27.3283451626382,-39.3760554511939
29.7165083315198,-38.6887241277535
32.3133677565142,-37.9616635417706
35.1371609382592,-37.2161878834425
38.207719111922,-36.4575640084346
41.5466065201069,-35.7482237272145
45.1772718565132,-35.0248677076859
49.1252129439149,-34.3336299955196
53.4181558029839,-33.5346597049466
58.0862493695374,-32.8275957013035
63.1622772276914,-32.1677530480726
68.6818878459034,-31.433573096706
74.6838449328289,-30.6825999210127
81.2102996712185,-29.9591370281244
88.3070867417283,-29.2103127956907
96.0240462155916,-28.4732897890972
104.415373576773,-27.6829345302747
113.54000033178,-26.9766766932461
123.462007880113,-26.2538761414039
134.251077551941,-25.49712362744
145.982979973553,-24.7377988521626
158.740107197379,-24.0109904379706
172.612051333659,-23.2444369521752
187.696233747445,-22.4733743913073
204.09858923973,-21.6919849561633
221.934310017634,-20.8984969588539
241.328654678498,-20.0969770563264
262.417827889281,-19.2901113944514
285.349936939187,-18.4597751531308
310.286031883293,-17.6072278475064
337.401236582008,-16.7404459791602
366.885978579554,-15.8402591263011
398.947326458775,-14.9033607122886
433.810444064416,-13.9260505397903
471.720171807726,-12.8953409228521
512.94274615774,-11.7965126786266
557.767669395084,-10.6202724543604
606.509742759385,-9.33882544565011
659.511277268911,-7.92758222914293
717.144497738804,-6.38594283100022
779.814156881113,-4.65769428898298
847.960377845198,-2.79589762827109
922.061745161407,-1.0104397316819
1002.63866579543,0.012485935420473
1090.25702391771,-0.341511836593848
1185.53215505497,-1.82904400551115
1289.13316753405,-3.68249813996551
1401.78764156702,-5.50922204588253
1524.28673897891,-7.13615542553728
1657.49075946314,-8.61941933419439
1802.33518238572,-9.96153702880314
1959.83723656928,-11.1973336991002
2131.10304419587,-12.3175320364591
2317.33538899946,-13.3821128731768
2519.84216330355,-14.3877400733473
2740.04555322646,-15.345604813095
2979.49202656138,-16.2625933322596
3239.86319347485,-17.1484974956483
3522.98761629756,-18.0088902016361
3830.85365134641,-18.8467959798331
4165.62341296478,-19.6672346364788
4529.64795784919,-20.4727882479429
4925.48379630033,-21.2648460632543
5355.91084635563,-22.0462965549673
5823.95195689338,-22.8187027041852
6332.89413681738,-23.5838690067995
6886.31163941282,-24.3427139020046
7488.09106399246,-25.0967051827027
8142.45865111978,-25.8459678697019
8854.0099631008,-26.5921649076245
9627.74215818797,-27.3343418318937
10469.0890851547,-28.0725470751074
11383.9594447068,-28.8092645710407
12378.7782857342,-29.5433981113549
13460.5321278277,-30.2746371209369
14636.8180269524,-31.0056308124707
15915.8969288604,-31.7368045922744
17306.7516849393,-32.4647697314617
18819.1501379366,-33.1916423909395
20463.7137206052,-33.9157475472009
22251.9920490311,-34.6368334452374
24196.5440345056,-35.3568886271813
26311.0260835844,-36.0732799057474
28610.2880057517,-36.7913017896465
31110.4773022424,-37.5137386436461
33829.1525684314,-38.2253481666407
36785.4068062055,-38.9298658829313
